Topic,Definition,Tags,Departments
&#34;10 Questions&#34;,,event,news
8-clap,,,
Academic Senate,,,
academic years,"<p>When referring to the academic year that begins in fall 2016 and ends in spring 2017, use 2016-2017.</p>",,"news, arts, opinion"
accent marks,"<p>Use accent marks for proper nouns such as Bruin Café or Beyoncé. Do not use an accent mark in general uses of words such as cafe, naivete, facade.</p>",,
Ackerman Union,,,
Acosta Training Center,,,
actor names in reviews,"for reviews only, after we introduce a character, we put the name of the actor who plays them in parenthesis","actor name, review",arts
admissions,,"school, admission, admissions","news, opinion"
"African American studies, Asian American studies",<p>Do not hyphenate if referring to the major.</p>,,
All-Freshman Team,,,sports
Anaheim,<p>The city in California stands alone in Daily Bruin stories.</p>,,
Arthur Ashe Student Health and Wellness Center,"<p>Arthur Ashe Student Health and Wellness Center on first reference. On subsequent references and in headlines, Ashe Center or student health and wellness center is acceptable.</p>",,
Associated Students UCLA,<p>Associated Students UCLA on first reference. ASUCLA is acceptable on subsequent references.</p>,,
at UCLA,"<p>If a club or organization name has at UCLA as part of its official name, state it on first reference.</p>",,
Bakersfield,<p>The city in California stands alone in Daily Bruin stories.</p>,,
